name,email,country,region,phone,address,occupation,registration_number,married,age,skin_color,2nd_vacine,team,fixed
Keith Lee,proin.velit@nullaintincidunt.ca,Brazil,Rio de Janeiro,(71) 0000-9846,Ap #184-5525 Praesent Avenue,Fisioterapeuta Geral,2011,Nao,41,Preta,1,13,Nao
Kennan Guy,magna.tellus.faucibus@seddictumeleifend.net,Brazil,Rio Grande do Sul,(64) 0000-7265,561-1513 Dis Ave,Gerente de Enfermagem,2012,Nao,47,Indígena,1,2,Sim
Joan Anderson,aliquam.adipiscing.lacus@elitnullafacilisi.org,Brazil,Pará,(46) 0000-4657,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Medico,2013,Sim,29,Amarela,1,14,Sim
Kane Figueroa,tincidunt.adipiscing@ornare.ca,Brazil,Pará,(33) 0000-2915,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Medico,2014,Sim,47,Parda,1,11,Sim
Quemby Wolf,malesuada.vel@imperdiet.net,Brazil,Paraná,(30) 0000-2753,Ap #661-7268 Quisque Road,Enfermeiro Plantonista,2015,Sim,35,Indígena,0,14,Sim
Mechelle Mcpherson,arcu.vestibulum.ante@lorem.com,Brazil,Pará,(19) 0000-5882,296-4894 Ipsum Street,Cirurgiao,2016,Nao,39,Branca,1,5,Nao
Halee Willis,at.sem@nuncac.co.uk,Brazil,Paraná,(66) 0000-8255,1354 Ultrices Road,Farmaceutico,2017,Sim,38,Amarela,0,1,Nao
Colby Figueroa,lorem@molestiesodalesmauris.ca,Brazil,Bahia,(11) 0000-2841,Ap #368-2006 Eget Rd.,Enfermeiro Plantonista,2018,Sim,46,Parda,1,13,Nao
Keaton Alford,lacus.mauris.non@nullamvitae.com,Brazil,São Paulo,(83) 0000-4267,509-965 In Road,Tecnico Enfermagem,2019,Nao,25,Branca,0,5,Nao
Asher Humphrey,erat.vitae.risus@enim.net,Brazil,Goiás,(21) 0000-5643,355-3251 Placerat Rd.,Auxiliar de Enfermagem,2020,Sim,30,Indígena,1,6,Nao
Uta Oneil,metus.in@sed.net,Brazil,Minas Gerais,(92) 0000-0485,382-6131 Libero. Ave,Enfermeiro Plantonista,2021,Sim,32,Indígena,1,6,Nao
Igor Koch,commodo@turpisaliquam.net,Brazil,Paraíba,(27) 0000-1236,Ap #306-4402 Metus. Rd.,Enfermeiro Obstreta,2022,Nao,33,Parda,1,5,Sim
Lance Frye,enim.nunc@laciniaorciconsectetuer.net,Brazil,Rio de Janeiro,(78) 0000-0913,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Gerente de Enfermagem,2023,Nao,31,Preta,1,14,Nao
Hamilton Ryan,sit@etnetus.co.uk,Brazil,Rio Grande do Sul,(72) 0000-0247,Ap #621-820 Placerat Rd.,Farmaceutico,2024,Sim,24,Parda,1,13,Nao
Elmo Silva,dictum.mi.ac@ipsum.com,Brazil,Bahia,(48) 0000-9699,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Tecnico Enfermagem,2025,Nao,48,Branca,0,9,Nao
Octavius Moody,quisque.ornare@ametluctus.com,Brazil,Rio Grande do Sul,(05) 0000-9703,Ap #636-9599 Donec Rd.,Enfermeiro Obstreta,2026,Nao,25,Amarela,0,11,Nao
Kaseem Rogers,ipsum.leo.elementum@loremvehiculaet.co.uk,Brazil,Paraná,(52) 0000-2231,985-5914 Ac St.,Fisioterapeuta Geral,2027,Sim,25,Indígena,0,3,Sim
Rosalyn Suarez,nunc.risus@vestibulumlorem.com,Brazil,Rio Grande do Sul,(82) 0000-8767,9865 Nunc. Street,Enfermeiro Plantonista,2028,Nao,19,Parda,0,13,Nao
Sawyer Baldwin,vel@loremipsum.co.uk,Brazil,Pernambuco,(19) 0000-5068,773-2889 Fermentum Avenue,Nefrologista,2029,Sim,43,Amarela,1,12,Sim
Warren Salas,libero.morbi.accumsan@maurisblandit.com,Brazil,Pará,(15) 0000-1114,Ap #663-4741 Mattis. Ave,Enfermeiro Plantonista,2030,Sim,19,Parda,0,10,Sim
Flynn Calhoun,suspendisse.tristique@rutrumeu.co.uk,Brazil,Pernambuco,(72) 0000-1732,Ap #946-9837 Malesuada. Rd.,Fisioterapeuta Geral,2031,Nao,20,Preta,1,11,Sim
Quinn Wilkinson,auctor.odio@hymenaeosmauris.ca,Brazil,São Paulo,(85) 0000-0760,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Coordenador de Enfermagem,2032,Sim,25,Parda,0,3,Sim
Heidi Blackwell,fringilla.purus@duifuscediam.com,Brazil,Bahia,(03) 0000-2661,517-8790 At Rd.,Cirurgiao,2033,Nao,25,Indígena,0,1,Sim
Abel Henderson,eu@senectuset.edu,Brazil,Paraná,(67) 0000-9794,Ap #639-8023 Penatibus Ave,Enfermeiro Chefe,2034,Sim,24,Indígena,1,10,Nao
Oren David,nascetur@amet.org,Brazil,Rio de Janeiro,(22) 0000-6197,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Gerente de Enfermagem,2035,Nao,31,Preta,1,7,Nao
Hyacinth Blanchard,et.risus@etliberoproin.edu,Brazil,Ceará,(29) 0000-2541,Ap #247-3159 Nulla Av.,Gerente de Enfermagem,2036,Sim,29,Branca,0,5,Sim
Bell Fry,turpis.nulla@sociis.com,Brazil,Rio de Janeiro,(81) 0000-1476,Ap #492-2915 Augue Road,Coordenador de Enfermagem,2037,Nao,20,Amarela,0,4,Nao
Simone Head,lorem.sit@accumsanneque.com,Brazil,Bahia,(93) 0000-1723,5917 Adipiscing Av.,Farmaceutico,2038,Nao,33,Branca,0,4,Sim
Cara Dillon,rutrum.fusce@massa.net,Brazil,Minas Gerais,(38) 0000-0285,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Tecnico Em Radiologia,2039,Nao,46,Preta,1,14,Sim
Andrew Velasquez,placerat.orci@nulla.co.uk,Brazil,Ceará,(91) 0000-6873,Ap #198-1538 Aliquam Avenue,Enfermeiro Chefe,2040,Nao,46,Parda,1,9,Nao
Catherine Lawson,sed.nulla@aliquetnecimperdiet.com,Brazil,Rio Grande do Sul,(38) 0000-5773,Ap #630-7425 Dictum Avenue,Enfermeiro Plantonista,2041,Nao,28,Branca,1,6,Nao
Rebekah Woodard,et.netus@eratneque.ca,Brazil,São Paulo,(15) 0000-2235,Ap #694-9505 Etiam Road,Farmaceutico,2042,Sim,24,Parda,0,9,Nao
Winifred Compton,erat.semper@liberoatauctor.net,Brazil,Paraná,(79) 0000-6148,Ap #136-9179 Sed St.,Cirurgiao,2043,Nao,19,Parda,1,3,Sim
Dexter Chandler,quis.massa@odiovel.ca,Brazil,Ceará,(71) 0000-0418,292-8355 Tellus St.,Tecnico Enfermagem,2044,Nao,21,Branca,1,12,Nao
Maxine Tyson,mollis.dui@metusfacilisis.co.uk,Brazil,Rio Grande do Sul,(13) 0000-5778,Ap #334-3776 Placerat Rd.,Tecnico Em Radiologia,2045,Nao,46,Parda,1,5,Nao
Bert Rivera,etiam@ametnulla.edu,Brazil,Ceará,(52) 0000-5442,376-7068 Urna Road,Medico,2046,Sim,30,Parda,1,2,Nao
Erin Adams,vestibulum@justopraesentluctus.edu,Brazil,Paraná,(49) 0000-1108,Ap #249-3475 Feugiat. Ave,Auxiliar de Enfermagem,2047,Sim,37,Preta,1,9,Sim
Yuli Meyers,nisi@natoquepenatibus.org,Brazil,Minas Gerais,(35) 0000-3134,Emma Ballard,libero@anequenullam.org,Brazil,Minas Gerais,(45) 0000-2910,P.O. Box 548, 9433 Cras St.,Enfermeiro Obstreta,2005,Sim,42,Preta,0,Auxiliar de Enfermagem,2048,Sim,24,Branca,0,14,Nao
Susan Blackburn,elit.pellentesque.a@temporarcu.edu,Brazil,Minas Gerais,(89) 0000-2924,480-8494 Erat St.,Coordenador de Enfermagem,2049,Nao,28,Branca,1,13,Nao
Sophia Sosa,mattis@neccursus.ca,Brazil,Maranhão,(92) 0000-2843,7884 Massa. Avenue,Nefrologista,2050,Sim,21,Indígena,1,1,Sim
Cleo Griffin,eu.placerat@sagittis.ca,Brazil,Goiás,(65) 0000-3841,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Coordenador de Enfermagem,2051,Nao,34,Parda,1,7,Sim
Alexandra Howell,nisl.maecenas.malesuada@lectusnullamsuscipit.ca,Brazil,Rio de Janeiro,(83) 0000-6641,Ap #237-2821 Pede. Rd.,Enfermeiro Chefe,2052,Sim,29,Preta,0,10,Nao
Grant Patel,convallis.ligula@sedleo.com,Brazil,Pernambuco,(84) 0000-1312,Ap #927-4420 Sit St.,Medico,2053,Nao,44,Branca,0,6,Nao
Veronica Charles,ipsum.dolor@justoproinnon.org,Brazil,Bahia,(69) 0000-3866,8016 Ut St.,Auxiliar de Enfermagem,2054,Nao,50,Branca,1,11,Sim
Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,12,Sim
Leigh Osborn,condimentum@aliquamadipiscinglobortis.net,Brazil,Goiás,(72) 0000-5242,8192 Scelerisque Road,Tecnico Enfermagem,2056,Sim,26,Amarela,0,2,Sim
Bradley Gibbs,nam.interdum@tempusnon.com,Brazil,Goiás,(83) 0000-2224,Ap #571-1787 Ullamcorper Ave,Tecnico Enfermagem,2057,Sim,35,Preta,0,8,Nao
Edan Cummings,vitae.semper.egestas@donecegestas.com,Brazil,Rio Grande do Sul,(05) 0000-8115,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Farmaceutico,2058,Sim,38,Amarela,0,12,Sim
Cyrus Simmons,pharetra@aliquamnecenim.net,Brazil,Minas Gerais,(61) 0000-3523,583-4933 In Road,Tecnico Enfermagem,2059,Sim,47,Preta,1,13,Sim
Jenna Warner,mauris@donecdignissim.co.uk,Brazil,Pernambuco,(52) 0000-6482,413-5546 Sapien. Av.,Gerente de Enfermagem,2060,Sim,45,Preta,0,9,Sim
Slade Conrad,mi@sit.edu,Brazil,Goiás,(78) 0000-7891,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Auxiliar de Enfermagem,2061,Sim,29,Indígena,0,1,Nao
Quentin French,mus@semvitae.ca,Brazil,Rio de Janeiro,(39) 0000-5348,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Tecnico Em Radiologia,2062,Nao,28,Branca,0,1,Nao
Mufutau Walker,non.dui@sedauctor.com,Brazil,Minas Gerais,(71) 0000-5040,351-4810 Netus Rd.,Tecnico Enfermagem,2063,Nao,38,Parda,0,1,Nao
Grant Schneider,ipsum@vitaerisus.com,Brazil,Bahia,(64) 0000-6957,785-6864 Tincidunt Avenue,Fisioterapeuta Geral,2064,Nao,48,Branca,1,12,Nao
Connor Skinner,scelerisque@dictum.co.uk,Brazil,Paraná,(68) 0000-1808,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Auxiliar de Enfermagem,2065,Sim,20,Branca,0,7,Nao
Tanisha Daniel,ante.blandit@semelit.co.uk,Brazil,Paraná,(63) 0000-4082,Ap #197-3460 Venenatis Rd.,Gerente de Enfermagem,2066,Nao,35,Parda,1,7,Sim
Iris Anderson,curabitur.massa@nunclaoreet.co.uk,Brazil,Goiás,(78) 0000-6663,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Enfermeiro Obstreta,2067,Sim,43,Parda,1,12,Nao
Brenda Osborn,vulputate.mauris@felisnullatempor.ca,Brazil,Pernambuco,(42) 0000-1874,849-8890 In St.,Gerente de Enfermagem,2068,Sim,33,Indígena,1,10,Nao
Halla Terry,non@sempernam.com,Brazil,Ceará,(56) 0000-3492,Ap #260-9770 Dictum. Road,Cirurgiao,2069,Nao,42,Amarela,1,8,Sim
Kuame Albert,aliquam.erat.volutpat@elitpretiumet.co.uk,Brazil,Bahia,(53) 0000-6275,Ap #553-2338 Fringilla Ave,Enfermeiro Chefe,2070,Nao,20,Indígena,0,9,Sim
Nissim Hill,aenean.egestas@nibhenimgravida.co.uk,Brazil,São Paulo,(25) 0000-9742,Ap #645-4880 Nulla Ave,Gerente de Enfermagem,2071,Sim,32,Indígena,0,4,Nao
Mari Chavez,dui@donecestmauris.net,Brazil,Maranhão,(52) 0000-7899,191-2970 Sed St.,Coordenador de Enfermagem,2072,Sim,30,Amarela,1,8,Nao
Tanek Mendoza,etiam.vestibulum@eu.net,Brazil,Pernambuco,(84) 0000-7577,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Tecnico Em Radiologia,2073,Sim,37,Preta,0,6,Nao
Alexa Coleman,non.lacinia.at@sed.net,Brazil,Pará,(22) 0000-8937,650-9886 Sed St.,Gerente de Enfermagem,2074,Nao,26,Indígena,0,11,Sim
Lillian Mccoy,vivamus.non.lorem@iderat.com,Brazil,São Paulo,(51) 0000-6692,Ap #340-5345 Sollicitudin St.,Coordenador de Enfermagem,2075,Nao,45,Amarela,0,2,Sim
Justine Moreno,amet@rutrummagna.edu,Brazil,Pará,(73) 0000-2333,4111 Facilisis Rd.,Enfermeiro UTI,2076,Nao,40,Parda,1,4,Sim
Mary Riley,dolor.tempus@acarcununc.com,Brazil,Paraná,(82) 0000-2343,126-3446 Sed Street,Cirurgiao,2077,Sim,37,Branca,0,12,Sim
Herman Bishop,egestas@sitamet.ca,Brazil,Pernambuco,(88) 0000-5176,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Cirurgiao,2078,Sim,45,Amarela,0,8,Nao
Timothy Le,ac.arcu@pedepraesent.co.uk,Brazil,Ceará,(88) 0000-7283,738-2696 Dolor. Rd.,Enfermeiro Plantonista,2079,Sim,45,Amarela,1,12,Sim
Xena Dillon,ultricies@magnacrasconvallis.org,Brazil,Pará,(18) 0000-4287,Ap #894-5448 Urna Street,Nefrologista,2080,Nao,45,Parda,0,9,Sim
Ahmed Kennedy,leo.morbi@maurisipsum.co.uk,Brazil,Pernambuco,(48) 0000-5248,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Auxiliar de Enfermagem,2081,Nao,47,Amarela,0,1,Sim
Leilani Morrison,vitae@donecconsectetuer.com,Brazil,Ceará,(17) 0000-3233,2825 Proin Rd.,Tecnico Em Radiologia,2082,Sim,44,Amarela,1,14,Sim
Herrod Mcleod,amet@purusduiselementum.edu,Brazil,São Paulo,(07) 0000-5900,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Gerente de Enfermagem,2083,Sim,42,Parda,0,8,Sim
Brianna Alford,sociis.natoque@eusem.com,Brazil,Paraná,(56) 0000-5486,881-1250 Sit Street,Enfermeiro Obstreta,2084,Sim,33,Branca,0,4,Sim
Kelsey Parrish,proin.eget@mauris.net,Brazil,Rio Grande do Sul,(72) 0000-1524,316-2178 Tincidunt Road,Tecnico Enfermagem,2085,Sim,48,Amarela,0,11,Sim
Hanae Parrish,maecenas@disparturient.org,Brazil,Maranhão,(18) 0000-2511,3008 Non Ave,Enfermeiro Chefe,2086,Nao,44,Branca,1,1,Sim
Marvin Fulton,leo.elementum@ornaretortorat.com,Brazil,Paraíba,(46) 0000-7736,Ap #517-4983 Consectetuer Road,Tecnico Em Radiologia,2087,Nao,40,Parda,1,9,Sim
Nasim Estrada,porttitor.vulputate@arcucurabitur.co.uk,Brazil,Minas Gerais,(25) 0000-1496,Ap #917-3288 Dolor Av.,Gerente de Enfermagem,2088,Sim,43,Preta,0,11,Sim
Cecilia Whitehead,purus.mauris@nonvestibulum.ca,Brazil,Rio Grande do Sul,(71) 0000-3762,690-1693 Elit Road,Cirurgiao,2089,Nao,24,Branca,0,7,Sim
Raya Talley,consectetuer.ipsum.nunc@netuset.ca,Brazil,Santa Catarina,(74) 0000-7844,913-6256 Venenatis St.,Farmaceutico,2090,Sim,49,Parda,0,11,Sim
Tatum Mccormick,in.dolor.fusce@tristiquesenectus.com,Brazil,Pará,(44) 0000-5672,219-1446 Magnis Road,Medico,2091,Nao,35,Branca,0,11,Sim
Evan Ruiz,enim@ipsum.co.uk,Brazil,Pará,(59) 0000-4450,513-531 Porttitor Avenue,Fisioterapeuta Geral,2092,Nao,31,Preta,0,8,Nao
McKenzie Dudley,nibh.lacinia.orci@idante.co.uk,Brazil,Rio Grande do Sul,(17) 0000-4831,Ap #154-4594 Adipiscing St.,Tecnico Enfermagem,2093,Nao,39,Preta,0,1,Nao
Driscoll Stewart,ipsum.sodales@nullam.com,Brazil,Ceará,(29) 0000-4823,Aretha Tanner,ornare.lectus.ante@vehiculapellentesque.edu,Brazil,Ceará,(50) 0000-7575,812-1026 Sodales Avenue,Nefrologista,2055,Nao,25,Amarela,0,Coordenador de Enfermagem,2094,Sim,19,Indígena,0,11,Nao
Juliet Ortega,ullamcorper.duis@maurisquis.ca,Brazil,Paraná,(72) 0000-8074,Ap #279-2340 Sagittis Rd.,Enfermeiro UTI,2095,Nao,37,Amarela,0,10,Sim
Felicia Valentine,malesuada@leocras.ca,Brazil,Paraná,(12) 0000-9427,655-752 Purus Street,Farmaceutico,2096,Sim,37,Indígena,1,10,Sim
Matthew Rutledge,etiam.gravida.molestie@semconsequat.co.uk,Brazil,Goiás,(25) 0000-2642,119-9961 Molestie St.,Farmaceutico,2097,Nao,43,Indígena,1,3,Sim
Daquan Le,ac.metus@dui.org,Brazil,Rio Grande do Sul,(84) 0000-3368,749-6714 Ut Road,Enfermeiro Chefe,2098,Sim,20,Branca,1,2,Sim
Gareth Donovan,magna.sed.eu@neque.com,Brazil,Bahia,(44) 0000-5625,384-5031 Magna. Av.,Enfermeiro Obstreta,2099,Sim,35,Branca,0,12,Nao
Ava Livingston,mauris.sagittis@lorem.edu,Brazil,Ceará,(44) 0000-6551,761-1414 Egestas Street,Enfermeiro UTI,2100,Sim,34,Indígena,1,9,Nao
Jena Hobbs,rutrum.eu@vitaesodalesnisi.net,Brazil,Goiás,(94) 0000-2852,763-4492 Lorem Av.,Medico,2101,Nao,36,Indígena,1,3,Nao
Inez Rice,elit.sed@ametmassa.co.uk,Brazil,Pernambuco,(63) 0000-4455,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Enfermeiro Obstreta,2102,Nao,31,Parda,0,14,Nao
Quon Glass,lectus.nullam.suscipit@habitantmorbi.net,Brazil,Goiás,(27) 0000-0260,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Nefrologista,2103,Nao,25,Preta,0,1,Sim
Wylie Deleon,pulvinar@anteiaculis.com,Brazil,Paraíba,(23) 0000-4405,Ap #671-8107 Nullam Rd.,Tecnico Enfermagem,2104,Sim,33,Preta,1,7,Sim
Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,7,Nao
Ignacia Fischer,convallis.erat.eget@nonlaciniaat.net,Brazil,Minas Gerais,(12) 0000-3574,940-3995 Natoque St.,Medico,2106,Nao,25,Amarela,1,13,Nao
Nola Wynn,nec.luctus@proinvel.net,Brazil,Bahia,(76) 0000-3388,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Enfermeiro Chefe,2107,Sim,42,Parda,1,7,Nao
Ava Bowers,non.arcu@accumsanneque.co.uk,Brazil,Ceará,(97) 0000-8312,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Tecnico Enfermagem,2108,Sim,33,Indígena,0,7,Sim
Jacob Merrill,fusce.mollis@dolorfusce.ca,Brazil,Pará,(13) 0000-1883,Ap #590-6455 Aliquam Rd.,Enfermeiro Chefe,2109,Nao,22,Parda,1,7,Sim
Willa Hammond,cras.eget.nisi@nonummyac.org,Brazil,Paraíba,(61) 0000-4427,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Gerente de Enfermagem,2110,Sim,36,Amarela,1,1,Sim
Jamal Kramer,non.dui.nec@suspendissealiquet.org,Brazil,Minas Gerais,(21) 0000-1855,Ap #190-3536 Metus. Ave,Tecnico Enfermagem,2111,Nao,30,Branca,1,5,Nao
Vera Hartman,vestibulum.neque.sed@duisatlacus.net,Brazil,Minas Gerais,(63) 0000-4281,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Tecnico Em Radiologia,2112,Sim,42,Preta,1,2,Sim
Yolanda Cherry,aliquam.arcu@mauriseuelit.com,Brazil,Ceará,(26) 0000-4207,Ap #116-7961 Dis Avenue,Enfermeiro Chefe,2113,Nao,25,Amarela,0,6,Nao
Akeem Salazar,aenean@fringillaeuismod.com,Brazil,Paraíba,(40) 0000-1256,980-2770 Erat St.,Auxiliar de Enfermagem,2114,Sim,31,Parda,1,4,Sim
Gail Schwartz,commodo@iaculisquispede.net,Brazil,Rio Grande do Sul,(20) 0000-4284,Ap #368-4917 Ipsum Rd.,Auxiliar de Enfermagem,2115,Sim,49,Amarela,0,8,Nao
Dustin Strickland,cum.sociis@justofaucibus.org,Brazil,Pará,(52) 0000-0044,Ap #223-6929 Adipiscing St.,Tecnico Enfermagem,2116,Sim,44,Branca,0,5,Sim
Dacey Bray,sed.dui@aultricies.com,Brazil,Rio Grande do Sul,(70) 0000-4231,258-1814 Aenean Av.,Fisioterapeuta Geral,2117,Nao,32,Preta,0,14,Nao
Tanya Pope,libero.lacus@diamnunc.co.uk,Brazil,Goiás,(51) 0000-8730,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Enfermeiro UTI,2118,Sim,30,Amarela,1,8,Sim
Andrew Atkinson,montes.nascetur.ridiculus@idsapiencras.net,Brazil,Maranhão,(57) 0000-6349,Ap #455-7431 Vulputate Rd.,Fisioterapeuta Geral,2119,Nao,36,Branca,0,6,Sim
Thane Warner,lorem.ipsum@ridiculusmus.org,Brazil,Paraná,(73) 0000-4009,157-432 Ante St.,Auxiliar de Enfermagem,2120,Sim,37,Indígena,0,12,Nao
Mallory Baxter,tellus.phasellus@ac.edu,Brazil,Pernambuco,(48) 0000-7564,Ap #971-2532 Nullam Road,Medico,2121,Sim,44,Amarela,0,1,Sim
